Type,UPC,Title,Description,Category,Partner,SKU,Price,Stock,binding,number_of_pages,publisher,language,publication_date,weight,author
Standalone,9781408122693,Foul Bottoms: The Pitfalls Of Boating And How To Enjoy Them,"Based on a series of highly popular articles written for Classic Boat magazine, this witty collection dwells on the scrapes people get themselves into when building and sailing boats of all descriptions. Most sailors will find something to relate to in the escapades and faux pas detailed here, and the stories will undoubtedly bring a wry smile to any boater's lips. John Quirk's terrifically witty cartoons help bring these anecdotes to life.  Some quotes from the book:  Her jeans fitted like the fuzz on a peach.  With the horror of watching a hedgehog run amok in a condom factory.  With the ship sinking beneath us, the owner frantically fumbled through the warranty.  We hit the dining room with the etiquette of escaped lab rats.  Looked like Gandhi on a diet.  'Quirky is the sea-going version of Bill Bryson and Jeremy Clarkson - and he draws better!' - Dan Houston, Editor of Classic Boat",Books > General,Gardners,9781408122693,16.99,1,Paperback,96,Adlard Coles Nautical,English,06/01/2010,247,John Quirk
Standalone,9781408116425,Worse Things Happen At Sea,"Worse Things Happen at Sea is the long awaited follow up to Jake Kavanagh's hugely popular Ups and Downs of a Lockkeeper. This time turning his humorous eye to the scrapes people get into when let loose on open water, Jake has us chuckling, blushing and recognising ourselves or fellow crew coming unstuck in the maritime mayhem he highlights with his witty pen and captures so admirably with his hilarious illustrations. A great read for the armchair sailor - but you may decide that the armchair is the safest place to stay! 'Had me laughing out loud on many occasions.' Motor Boats Monthly 'A great read, and thoroughly recommended.' World Cruising Club",Books > General,Gardners,9781408116425,14.99,0,Paperback,128,Adlard Coles Nautical,English,15/07/2009,205,Jake Kavanagh
Standalone,9781408111987,Start To Win: The Classic Text,"Start to Winis Eric Twiname's sailing classic. Out of print for over 20 years, it has nevertheless retained its position as the  book on simple racing principles. Considered unequalled by its many  fans, it is the only book that sets out the techniques of sailing in  such a clear, understandable and straightforward manner.By the same author as The Rules Book, Start to Win  will be welcomed back by its many followers, and read for the first  time by many more. With an updated section on the Racing Rules, this  classic is set to help sailors achieve their racing best for many years  to come.'An extraordinarily valuable book",Books > Sailing,Bertrams,9781408111987,30.99,9,Paperback,224,Adlard Coles Nautical,English,21/08/2009,605,Eric Twiname
Standalone,9780571096596,The Book Of Knots,"First published in 1944, and reprinted many times since then, the latest reissue of this magnificent book contains, for the first time, fully illustrated details of all minor amendments and corrections that have come to light over the years. These have been collected and collated by Geoffrey Budworth with the help of other members of the International Guild of Knot Tyers.",Books > Sailing,Bertrams,9780571096596,99.99,2,Hardback,640,FABER AND FABER,English,05/04/1993,1780,CLIFFORD W. Ashley
Standalone,9781408112779,What Now Skipper?: Test Your Navigation And Seamanship Skills And Learn From Expert Answers,"Following in the Yachting Monthly paperback series (Confessions, Further Confessions, etc) this book is based on a popular run of articles over the last eight years in Yachting Monthly, in which navigational and seamanship problems are posed and the highly respected author (former RYA Training Manager Bill Anderson) gives his opinion on the best way to resolve them. And if there are several options, he airs them all.  The question and answer format is an ideal way for readers to absorb, in a very practical way, good seamanship lessons arising from a whole range of boating problems which have all occurred in real life.  This accessible paperback is entertaining, non-preachy and non-textbook, and the invaluable advice is helped along with lively colour photos, maps and diagrams.",Books > General,Gardners,9781408112779,14.99,3,Paperback,96,Adlard Coles Nautical,English,15/09/2009,205,Bill Anderson and Chris Beeson
Standalone,9781408109519,Sailing In Paradise: Yacht Charters Around The World,"This comprehensive guide to the world of chartering, compiled  by Rod Heikell, shares the  breadth of his knowledge and experience, recommending types of charter,  best types of boat, as well as essential information about the world's  cruising areas.       Taking a practical approach, he explains everything prospective  charterers need to know before setting sail: visas required,  healthcare, money, and what to expect from foreign harbours and  anchorages. At the heart of the book is a country by country round-up  of charter areas around the world with pros and cons, best times to go,  wind and sea conditions, harbours and anchorages, eating out, safety,  documentation requirements and getting there. Each area is illustrated with a map and  colour photos.      This unique guide is a must-have reference for charterers the world  over, and a mouth-watering appetiser for those dreaming about where  they would like to sail in the future.",Books > Sailing,Gardners,9781408109519,37.99,10,Paperback,224,Adlard Coles Nautical,English,01/10/2009,544,Rod Heikell
Standalone,9781862057289,Extreme Sail,"Sailing, one of the most ancient methods of transport and exploration, is becoming more and more extreme. Technological advancements mean that vessels are getting faster while sailors are better equipped than ever to conquer the elements and explore uncharted waters with sophisticated satellite navigation systems.This sailing subculture thrives on adrenaline, with sailors seeing just how far they can push their boats and crew. Today's sailors have an insatiable desire to smash records and make history, conquering near-impossible weather conditions and treacherous icy waters in the process. Maritime marathons such as The Race, in which competitors circumnavigate the globe in as fast a time as possible, are springing up around the globe and attracting more and more fearless individuals.Extreme Sail is a circumnavigation of the most extreme maritime feats - including the Vend",Books > Sailing,Ingram,9781862057289,28.99,5,Hardback,160,Pavilion Books,English,30/06/2006,880,Oliver Dewar
Standalone,9781408114933,Gmdss: A User's Handbook,"The Global Maritime Distress and Safety System (GMDSS) provides a fast and efficient way of calling for assistance at sea, whatever the size of craft or geographical position. Now updated for the fourth edition, this book explains the operation of the system as a whole and the procedures involved, as well as covering the syllabi of the General Operator's Certificate (GOC), the Long Range Certificate (LRC), and the Restricted Operator's Certificate (ROC). GMDSS: A User's Handbook has proved an invaluable reference for both exam candidates and equipment users alike. 'The ideal publication' Cruising 'Concise and lucid practical guidance' The Nautical Magazine 'A useful guide for those taking examinations...or those who need to brush up on procedures' Lloyds List",Books > General,Gardners,9781408114933,37.99,10,Paperback,144,Adlard Coles Nautical,English,15/09/2009,321,Denise Brehaut
Standalone,9781408102497,The Sailing Bible: The Complete Guide For All Sailors From Novice To Experienced Skipper,"Sail with the experts! The Sailing Bible is the complete, user-friendly, hands-on manual packed with detailed step-by-step diagrams, lively action photos, and helpful advice on getting the most out of your sailing at whatever level. Whether you are a dinghy or yacht sailor just learning the basics or wanting tips on sailing with the best, this is the book that will give you all the answers you are looking for. It's all in here! Dinghies and yachts Cruising and racing Launching, helming, trapezing, and capsizing Racing techniques and tactics Buoyage, tides, charts and navigation Anchoring and marina berthing Knots, ropes and flags Boat etiquette and seamanship Rules of the road, safety and emergencies Boat maintenance and repair and much more...The Sailing Bible is an ideal companion to enjoyable sailing whether in a dinghy or a yacht.",Books > Sailing,Ingram,9781408102497,49.99,6,Hardback,400,Adlard Coles Nautical,English,01/03/2009,1345,
Standalone,9781408112014,Occupation Circumnavigator: Sailing Around The World,"A hippy  Sell Up and Sail , this entertaining and inspiring book is more  than just a cruising narrative - it is an instructive account showing how  anyone can circumnavigate (or even sail for an extended period) without  huge funds. Lars Hassler originally set off intending to sail for  three years, but by judiciously using his funds, and topping them up by  taking charter guests on cruises, he sailed around the world for ten years.          Woven into the book is advice on costs, distances, timing, power  needs, food and medication - in other words, the practicalities that  everyone who sails needs to know about. And at the end, there is a forward-looking  chapter providing advice on 'After the Circumnavigation - What Next?'          With a Foreword by Jimmy Cornell and a gorgeous photo section, this is  an enjoyable and useful read for anyone thinking, or dreaming, about making an  extended cruise.      'Lars, the modern day Odysseus",Books > Sailing,Ingram,9781408112014,32.99,3,Paperback,288,Adlard Coles Nautical,English,31/07/2009,711,Lars Hassler
Standalone,9781862058187,Extreme Sail: Reduced Format,"Reduced sized format of this stunning book. Sailing, one of the most ancient methods of transport and exploration, is becoming more and more extreme. Technological advancements mean that vessels are getting faster while sailors are better equipped than ever to conquer the elements and explore uncharted waters with sophisticated satellite navigation systems.Today's sailors have an insatiable desire to smash records and make history, conquering near-impossible weather conditions and treacherous icy waters in the process. Maritime marathons such as The Race, in which competitors circumnavigate the globe in as fast a time as possible, are springing up around the globe and attracting more and more fearless individuals.Extreme Sail is a circumnavigation of the most extreme maritime feats - including the Vend",Books > Sailing,Ingram,9781862058187,24.99,7,Hardback,160,Pavilion Books,English,05/05/2009,517,Oliver Dewar
Standalone,9780713668063,Fitting Out Your Boat: Fibreglass Or Wood,"This book is tailor made for anyone fitting out a wooden or fibreglass hull from scratch, or for anyone wanting to renovate an old yacht and give it a face lift. Whether repairing or laying teak decks, refurbishing an old keel or rudder, installing new windows and hatches, fitting headlining, replacing deck fittings, stripping down winches or modernising the galley, the author takes the DIY boat owner through all the steps required, with the help of detailed photo sequences and step-by-step instructions. Along with the author's bestselling previous book, Boat Interior Construction, this book will prove a godsend to all amateur builders.",Books > General,Gardners,9780713668063,45.99,5,Paperback,160,Adlard Coles Nautical,English,31/03/2004,522,Michael Naujok
Standalone,9781408105153,Iain Oughtred: A Life In Wooden Boats,"For decades, boat building has catered for the rich and the elite, and has been out of the reach of ordinary people both economically and culturally. Iain Oughtred has challenged this philosophy by designing beautiful yet inexpensive wooden boats ideal for amateur construction, often basing the designs on traditional local craft.  Iain has a cult following around the world as a result of his exceptionally appealing yet easy to build small boat designs, and this compelling book shows just why. The photography showcases the beauty of Iain's boats, as well as the stunning Scottish landscape where he is based. Nic Compton's evocative text traces Iain's journey and the development of his designs, the growth of the woodenboat movement and the take-up of Iain's designs by mainstream boat builders all over the world. This is the only full colour, comprehensive book on this popular small boat designer, and will appeal to existing Iain Oughtred enthusiasts as well as the more general boat building market, attracted by the gorgeous photography and drawn by Iain's reputation and the philosophy of the wooden boat movement as a whole.",Books > General,Ingram,9781408105153,53.99,7,Hardback,160,Thomas Reed Publications,English,27/05/2009,940,Nic Compton
Standalone,9781408109496,Paul Elvstrom Explains The Racing Rules Of Sailing: 2009-2012 Rules,"The 16th edition of this bestselling pocket reference for racers has been completely revised to cover the new rules for 2009-2012. It includes the full text of the new racing rules with a handy 'Quick Guide to the Changes' at the front. Each rule is carefully analysed, and the situations likely to be met with in a race are explained with helpful 'birds eye' line drawings cross-referenced to the relevant rule. Once again, the model boats that are very popular for use in protests are included, there are signal flags on the back cover for easy reference on the race course, and a plastic wallet keeps everything together and protects from spray.'All you need to know' Sailing  'Definitely a book to have on board' The Island  'Indispensable for anyone who races' Nautical News",Books > Sailing,Ingram,9781408109496,41.99,9,Paperback,208,Adlard Coles Nautical,English,30/01/2009,366,Paul Elvstrom
Standalone,9780713666755,The Complete Book Of Sea Kayaking,"A comprehensive guide for the beginner and a reference book for the experienced, this guide to sea kayaking describes equipment, basic and advanced techniques (including those for rolling and for rescues), weather and navigation. For this fifth edition, both text and illustrations have been completely updated. The instruction of basic techniques has been considerably expanded and is newly presented in a master-class  format to cater for the growing body of novices who seek their first kayak experience on the sea.",Books > Canoeing & Kayaking,Bertrams,9780713666755,39.99,0,Paperback,208,A & C BLACK PUBLISHERS LTD,English,28/11/2003,730,Derek C. Hutchinson
Standalone,9781408111123,Heave Ho!: The Little Book Of Seasickness,"'If you can get there by land, do not go by water.'Chinese Proverb Anyone who has had a rough ferry crossing, fishing trip or outing in a boat will recall that overwhelming feeling that death is just around the corner, and the horrible phenomenon of seasickness has been intriguing doctors, philosophers, writers and politicians ever since humans first ventured out to sea. This retro little gift book is filled with amusing, outrageous and downright odd quotes from the likes of Dickens, Byron and Disraeli, as well as genuine but bizarre extracts from early physicians' reports and medical journals, covering all aspects of this 'peculiar affliction'. You'll discover intriguing insights into: Thecauses, including flaccid abdomens or being of American origin! Psychological effects; 'a strong conviction that death is imminent, followed, as time goes on, by an unreasonable annoyance at its delay' Remedies, ranging from ground fleabane to opium, from hanging upside down to drinking only champagne throughout the entire voyage!  Good seasickness etiquette (practice runs to the rail advised) A perfect gift, a fun impulse buy, something to dip in and out of - this is just the thing for boaters, keen travellers and anyone who likes a bit of historical hilarity. 'Females, though a little more inclined to be sick than men, can be managed by a little attention, and a few words bordering upon flattery.' Robert Mudie,The Emigrant's Pocket Companion, 1832",Books > General,Gardners,9781408111123,7.99,7,Hardback,96,Adlard Coles Nautical,English,01/03/2009,86,"Coles, Jane Russell, Paul Roseby and others"
Standalone,9781408109502,The Rules Book: Complete 2009-2012 Rules,"This bestselling pocket-sized racing rules book is unique in covering the rules by race situation. It explains the rules affecting each part of the race course, from the start line, round the marks and on to the finish line. The entire 2009-2012 racing rules are included in this edition. This book is ideal for all racers because the rules are explained by race situation, using helpful diagrams to show the rules that apply all around the race course. The rules are graded for all levels of competition - club, national and international championship. This unique method of presentation has proved extremely popular with racers over nine editions 'Every racing skipper, helmsman and navigator should have a copy' Seahorse  'A must for anyone who races, at any level' Sailing  'Presents an undeniably complex subject in a logical, easily followed format' SAIL",Books > Sailing,Ingram,9781408109502,37.99,5,Paperback,208,Adlard Coles Nautical,English,30/01/2009,319,Bryan Willis and Eric Twiname
Standalone,9780713667103,"Knots In Use: Knots, Bends, Hitches, Whippings And Splices","More than 100,000 copies sold!      Knots in Use is a bestseller amongst knotting books. Uniquely it shows  at a glance both how to tie the knot, bend or hitch, and how to use it  most effectively. It covers all the most useful and practical knots,  bends, hitches, whippings and splices in everyday use by anyone going  to sea. Colin Jarman's straightforward text and excellent colour  photographs coupled with Bill Beavis' exceptionally clear drawings make  this a very user-friendly book - ideal for the many evening class  students who have relied on it over the years.",Books > Sailing,Ingram,9780713667103,16.99,8,Paperback,96,Adlard Coles Nautical,English,29/08/2003,190,Bill Beavis and Colin Jarman
Standalone,9780713675702,How To Trim Sails: Dinghies To Offshore Cruisers,"This practical guide is for owners and crew sailing all types of boats from dinghies to offshore cruisers with either masthead or fractional rigs. It explains what sail trim is all about, how to achieve it and what its benefits are, and covers: mainsails and headsails trim for light airs, medium strength and strong winds trim for beating, reaching and running correct camber and mast rake weather helm - causes and cures and easy reference trimming tables. How to Trim Sails will help racers and cruisers of all levels of experience get the best performance from their boats and sails.'This book does tell you how to trim sails.' Little Ship Club",Books > Sailing,Gardners,9780713675702,24.99,3,Paperback,128,Adlard Coles Nautical,English,22/02/2006,210,Peter Schweer
Standalone,9780713674033,Sell Up And Sail: Pursue The Dream,"Since it was first published, Sell Up and Sail has become the bible for those cruising as a way of life, whether short or long term. It asks all the right questions, and provides the answers from first-hand experience. Whether choosing a boat, deciding what to take and what to leave behind, avoiding mistakes and pitfalls, preventing ill health afloat, or provisioning in far flung places, this book will show how to get it right before you go and ensure your chosen life is as relaxed, enjoyable and stress-free as possible. This fifth edition has been updated and revised to include far-reaching changes in navigation, electronics and communications as well as bureaucracy and other recent developments that may affect the long term cruising sailor's life afloat. 'Sailing Bible' The Times  'First rate reading for serious planners and hopeless dreamers alike' Practical Boat Owner",Books > Sailing,Bertrams,9780713674033,36.99,5,Paperback,352,Adlard Coles Nautical,English,01/11/2005,836,Bill Cooper and Laurel Cooper
Standalone,9780713669886,Yachtmaster: For Sail And Power: The Complete Course For The Rya Coastal And Offshore Yachtmaster Certificate,"Yachtmaster for Sail and Power is a major reference book which will prove invaluable for anyone following the RYA Coastal Skipper/Yachtmaster Offshore course. Right up to date with new developments, it includes all the elements of the revised Yachtmaster course: middot; Chartwork - including useful worked examples middot; Electronic navigation - how to use the latest technology for safe navigation: radar, electronic chart plotting and GPS middot; Pilotage - buoyage fully explained and illustrated middot; Communications - information on current maritime communications including GMDSS middot; Weather - the elements of meteorology, weather sources and forecasts middot; Safety and survival - all the new SOLAS regulations detailed middot; Stability and buoyancy - the principles simply explained. With its refreshingly practical approach, no one enrolling for the RYA Yachtmaster course whether for sail or power can afford to be without this lively, helpful study guide to compliment the course and assist with exam preparation.",Books > Sailing,Bertrams,9780713669886,45.99,2,Hardback,240,Adlard Coles Nautical,English,29/11/2004,855,Alison Noice
Standalone,9781408101261,Higher Performance Sailing: Faster Handling Techniques,"'Monumental!' - Bob Ross, Australian Sailing High Performance Sailing is  now regarded as the bible of racing sailors and carries a string of  endorsements from high achievers. Since its publication in 1984, racing  yachts and dinghies have developed out of all recognition - a new  high-tech breed of 'apparent wind' fast racers has claimed the water  and so far no-one has applied themselves seriously to analysing what  makes these boats sail fast (and what will make them faster). This is Frank Bethwaite's ground-breaking achievement in Higher Performance Sailing.  By means of extensive research, and working with sailors of different  racing calibre, Bethwaite analyses how to harness the apparent wind  for increased speed and better position on your rivals. Higher Performance Sailing will  provide the key to racing sailors' dreams. Praise for Bethwaite's High Performance Sailing: 'It represents a breakthrough It is a book that my Olympic squad will benefit from.' Rod Carr, former British Olympic Sailing Team Manager 'Allowed only one  if only  in yacht racing, it would have been to have read Higher Performance Sailing years ago.'  Bob Fisher, journalist, broadcaster and international championship winner",Books > Sailing,Ingram,9781408101261,89.99,2,Paperback,516,Adlard Coles Nautical,English,26/11/2008,1350,Frank Bethwaite
Standalone,9780720720167,The Handbook Of Sailing,"The Handbook of Sailing  provides a full-scale 'how to' course in all the essentials. Bob Bond, formerly training manager to the Royal Yachting Association and now principal of the Plas Menai National Water Sports Centre has compiled the work so that it can be used by anyone who thinks of taking up sailing, whether in earnest or just as casual means of weekend relaxation. It is also an invaluable source of reference for the more experienced sailor, who may need to improve and up-date his technique. The book provides essential information would-be sailors need to know from the moment they first set foot in a boat in sheltered water to the time when they might be in mid-ocean in a force-eight gale.",Books > Sailing,Gardners,9780720720167,30.99,8,Paperback,352,Pelham Books,English,25/06/1992,912,Bob Bond
Standalone,9780713682694,50 Ways To Improve Your Power Boat Driving,"This is a book about practical powerboat driving in boats large and  small, operating at speeds between 20 and 100 knots. It is about  techniques that can only be picked up from experience - practical ways  to make your driving safer, easier and better, whatever the conditions. This  book starts where most other books finish. You may have learnt the  important basics of powerboat driving, but now it's time to see how  to translate these basics into practical handling techniques that you  can use to give a better ride and have a smoother passage. With the  help of this book, readers will pick up expert tips such as Handling a fast boat in waves and head seas Matching response times to sea conditions Using the throttle to affect trim 50 Ways to Improve Your Powerboat Driving  distils Dag Pike's experience gained from over 50 years of driving a  whole range of craft from high-speed powerboats and lifeboats to ships.  Written  by one of the most experienced powerboat drivers in the world, it is  your passport to practical handling techniques that will get you safely to  your destination whether in fine weather or foul.",Books > Motor / Power Boating & Cruising,Ingram,9780713682694,16.99,6,Paperback,96,Adlard Coles Nautical,English,28/03/2008,204,Dag Pike
Standalone,9780713682625,Competent Crew: For New Crew And Competent Crew Students,"Competent Crew covers both the shorebased and the practical aspects of the RYA Competent Crew course.  It will prepare for the first time afloat by explaining basic sea  skills and boat handling including: ? sail trimming and sail handling ?  understanding the compass and sailing a course ? anchoring and mooring  ? ropework ? handling safety equipment ? emergency procedures ? simple  collision rules ? elementary meteorology.    Ideal for the beginner, Competent Crew also includes a  comprehensive glossary, clear explanatory diagrams in 2 colours, the  syllabus of the RYA Competent Crew course and self-testing questions  and answers. It will prove invaluable for novice sailors and those embarking on this first level RYA course.          This  new edition  benefits  from a lively new design and text. Fresh diagrams and photographs have  updated the look, and the text has been completely revised, in line  with RYA course guidelines.      'This is just what the crew member needs to digest before he sets foot on board' Yachting Monthly    'Very definitely an invaluable textbook for anyone starting off' Sailing",Books > Sailing,Gardners,9780713682625,22.99,6,Paperback,160,Adlard Coles Nautical,English,25/09/2007,388,Pat Langley-Price and Philip Ouvry
Standalone,9780713675719,"How To Paint Your Boat: Painting, Varnishing, Antifouling","Most boatowners will find themselves with paintbrush in hand at least once during a season but with the vast range of products now available, how do you know which to select for the job? This book answers all the DIY boatowner's questions, and provides practical advice on painting every type of material. It explains: correct surface preparation dealing with defects correct application methods estimating quantities drying times brushes, rollers, pads and sprays resins, epoxies, solvents and thinners colour matching. There is also a handy fault-finding section for when things go wrong. 'This is a brilliant book...I recommend it for beginner and old-timer alike' Cruising",Books > General,Bertrams,9780713675719,27.99,3,Paperback,144,Adlard Coles Nautical,English,22/02/2006,262,Nigel Clegg
Standalone,9780713675726,How To Design A Boat: Power And Sail,"This straightforward guide is designed to take the novice step-by-step through the stages of designing both power and sailing boats, explaining the reasons behind the procedures and using typical lines plans and working drawings to help understanding. Since it was first published, How to Design a Boat has proved itself to be a bestseller. 'A brilliant little book.' Workboat World 'Thoroughly recommended.' Motor Boat &amp; Yachting",Books > General,Ingram,9780713675726,24.99,1,Paperback,160,Adlard Coles Nautical,English,28/02/2006,262,John Teale
Standalone,9781408101414,Adlard Coles Book Of Euroregs For Inland Waterways: A Pleasure Boater's Guide To Cevni,"In order to safely navigate Europe's major waterway routes, all  boaters need to know CEVNI - the Waterway Code - whose rules, signs,  symbols and signals are understood and used by bargemasters and working  vessels of all nationalities. This book has been written especially for pleasure craft users,  setting out the rules in an easy-to-follow handy pocket-book format. It  covers waterway signs, signals, flags and lights, markings on vessels,  procedures in tunnels, locks and weirs, overtaking rules, berthing, and  explains buoyage and landmarks - and for this 3rd edition there is a  handy Quick Reference section grouping signs by colour for easy  identification. The book forms the basis of the RYA test for the  International Certificate of Competence and is accepted by European  countries as the obligatory rules book that must be carried on board  all small craft. 'Essential reading for anyone proposing to navigate the continental waterways' Waterways World  'A very welcome reference work for British boatowners cruising through Europe' Motor Boats Monthly  'A must' Little Ship Club 'Cannot be too highly recommened' Nautical Magazine",Books > General,Ingram,9781408101414,15.99,3,Paperback,48,Adlard Coles Nautical,English,25/09/2008,145,Marian Martin
Standalone,9780713682915,Ever Wonder Why We Do It?,"Mike Peyton is the nautical world's best known and much loved cartoonist. For years he has made his mark, contributing witty, well executed and poignantly funny cartoons to the yachting and boating press, poking fun at seafarers of all types and capturing in his distinctive cartoon style their often eccentric and idiosyncratic ways.  Now here, at last, is a wonderful collection of Mike Peyton's light hearted and amusing recollections of time spent messing about in boats, all illustrated in his unique cartoon style.  A perfect bunkside read for seafarers and landlubbers alike.",Books > Sailing,Gardners,9780713682915,19.99,10,Paperback,96,Adlard Coles Nautical,English,15/06/2007,252,Mike Peyton
Standalone,9780713682427,Learning To Sail: In Dinghies Or Yachts - A No-Nonsense Guide For Beginners Of All Ages,"For anyone learning to sail in either dinghies or yachts, this book is easy to read with lively colour illustrations. Now in a larger format, this is a no-nonsense guide for beginners of all ages and is valuable as a back-up to sailing courses or for anyone learning to sail with a friend. It covers how to start sailing, the different kinds of boats you will sail in, various parts of a boat, rigging and launching a dinghy, getting going in a yacht, how a boat sails, handling ropes and tying knots, the effect of the tide, the weather, living aboard a yacht and what is on a chart. 'A useful first introduction' The Little Ship 'An ideal book for the absolute beginner...a no-nonsense primer' Kelvin Hughes",Books > Sailing,Bertrams,9780713682427,28.99,0,Paperback,80,Adlard Coles Nautical,English,25/01/2007,238,Basil Mosenthal
Standalone,9780713687644,The Adlard Coles Book Of Mediterranean Cruising,"Rod Heikell is the acknowledged expert on Mediterranean sailing, and this is the perfect guide for anyone cruising the area. Full-color throughout, this edition conveys the magic of Mediterranean cruising and gives practical firsthand advice on sailing these enticing (but sometimes surprising) waters.",Books > General,Ingram,9780713687644,37.99,5,Paperback,176,Adlard Coles Nautical,English,01/05/2008,449,Rod Heikell
Standalone,9780713679359,Sailing Alone Around The World,"Joshua Slocum's epic solo voyage around the world in 1895 in the 37-foot sloop Spray stands as one of the greatest sea adventures of all time. Starting from Boston in 1895, by the time he dropped anchor in Newport, Rhode Island over three years after his journey began, he had cruised some 46,000 miles entirely by sail and entirely alone. It remains one of the major feats of single-handed voyaging, and has since been the inspiration for the many who have gone to sea in small boat.",Books > Sailing,Ingram,9780713679359,14.99,8,Paperback,320,Adlard Coles Nautical,English,17/08/2006,342,Joshua Slocum
Standalone,9780713682687,50 Ways To Improve Your Weather Forecasting,"This is a book about practical weather forecasting, and it starts where  most other books finish. Weather forecasts give you a lot of information  about the weather to come but they often leave out a lot of the detail,  and the timing of changes can also be vague. In this book, Dag Pike shows how to  translate the basics into practical weather forecasts so that you can  work out what it will be like in your area and along your proposed  route. Sailors will be able to make better use of the available wind  and avoid difficult areas, whilst powerboat drivers more interested in  the sea conditions will be able to find the smoothest waters for a  better ride. With the help of this book, readers will pick up expert tips such as Predicting the weather at sea from scanty weather forecasts Knowing what conditions to expect when near cliffs, river estuaries and valleys Understanding how the wind affects tides 50 Ways to Improve Your Weather Forecasting  distils Dag Pike's experience gained from over 50 years of driving a  whole range of craft from high-speed powerboats and lifeboats to ships  and sailing boats.  Written by one of the most experienced seamen in the  world,  it is your passport to practical weather forecasting techniques that will  get you safely to your destination whether in fine weather or foul.",Books > General,Gardners,9780713682687,16.99,8,Paperback,96,Adlard Coles Nautical,English,28/03/2008,204,Dag Pike
Standalone,9780713688788,Disasters At Sea,"Dag Pike draws on his experience as merchant navy captain, fast boat navigator and boat safety tester for RNLI lifeboats to focus on a wide range of disasters at sea. He compiles a wide range of accounts of yachts, motorboats and commercial vessels running into difficulty as a result of poor navigation, fog, miscalculation, human error, weather conditions etc and analyses in a readable and entertaining fashion what caused the disaster, what went wrong, how it was dealt with and the lessons learned from it. Examples range from the Fastnet disaster, powerboat races, boats run down in the Channel, to trawlers pulled under by submarines, ferry accidents and tanker and cargo ship disasters. The incidents include grounding, collision, fire, sinking, ice and storms, and each chapter has an example from the Marine Accident Investigation Bureau who monitor incidents at sea. This book is a fascinating read for all who go afloat either for business or pleasure, and for anyone interested in just why disasters happen at sea.",Books > General,Ingram,9780713688788,41.99,7,Paperback,192,A & C BLACK PUBLISHERS LTD,English,13/10/2008,604,Dag Pike
Standalone,9780713682434,Heavy Weather Sailing,"Heavy Weather Sailing has long reigned as the ultimate international authority on surviving storms at sea aboard sailing and motor vessels. The book brings together a wealth of expert advice from many of the great sailors of the present, including fresh accounts of yachts overtaken by extreme weather, from Ewan Southby Tailyour, Alex Whitworth, Peter Cook, and Larry and Lin Pardey. Techniques for coping with heavy seas are explored, and new chapters have been added, giving advice on the use of storm sails, taking shelter in heavy weather, handling multihulls in storms and one on handling RIBs in high seas. Seasickness remedies are proposed, and a detailed analysis is given of the meteorological conditions leading up to a storm.  This is the definitive book for crews of any size contemplating voyages out of sight of land anywhere in the world, whether racing or cruising. It gives a clear message regarding the preparations required, and the tactics to consider when it comes on to blow.  'If you buy no other book for your voyage, buy this one' Pete Goss (renowned yachtsman and rescuer of Raphael Dinelli during the 1996/97 Vendee Globe) 'This book is an institution' Practical Boat Owner 'The ultimate survival handbook' Yachting World",Books > Sailing,Ingram,9780713682434,61.99,6,Hardback,272,Adlard Coles Nautical,English,30/05/2008,1040,Peter Bruce
Standalone,9780713672251,Sail Trim: Theory And Practice,"Sail trim is the art of setting sails in response to the varying conditions imposed by the wind, waves, boat speed and desired course. Regarded as something of a black art, good sail trim can mean the difference between winning and losing a race or reaching harbour before the tide turns. This book demonstrates the skill of good sail trim with the aid of superb colour diagrams and photographs, to enable racers and cruisers alike to sail efficiently and get the most out of their boats. Taking account of all types of wind condition the author explains: aero and hydrodynamics rig types the best way to rig a vessel sail cloth and cut the right trim for mainsail and smaller sails s sailing before the wind.There is really only one way to set your sails for maximum efficiency; this book explains how.",Books > Sailing,Gardners,9780713672251,31.99,8,Paperback,128,Adlard Coles Nautical,English,01/04/2005,272,Peter Hahne
Standalone,9780713679342,Dinghy Cruising: The Enjoyment Of Wandering Alfoat,"Using knowledge gained from many years hard-won experience Margaret Dye helps others enjoy the experience of cruising in a dinghy to the full. With its practical advice on how to prepare and equip the boat and tips on how best to cruise in a dinghy, this book will appeal to anyone of any age who longs for the freedom to go where they like when they like on the water.",Books > Sailing,Bertrams,9780713679342,37.99,7,Paperback,224,Adlard Coles Nautical,English,08/09/2006,399,Margaret Dye
Standalone,9780713682656,Ocean Yachtmaster: Adlard Coles' Coursebook For Ocean Navigation Students,"This coursebook is tailored for students following both the theoretical and practical aspects of the syllabus of the the RYA Ocean Yachtmaster (TM). Each chapter contains exercises and answers for self testing, and the content has been updated in line with new developments and technologies (such as electronic navigation). Along with a fresh design and new photography, this classic text continues to be the essential companion for all students of ocean navigation and anyone planning to sail any distance offshore. 'Comprehensive in its coverage and clear in its instruction.' SAIL 'A comprehensive, clearly written handbook...welcome not only in the classroom but also as a self-tutor.' Nautical Magazine",Books > Sailing,Ingram,9780713682656,57.99,9,Hardback,224,Adlard Coles Nautical,English,26/06/2007,724,Pat Langley-Price and Philip Ouvry
